date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:14:06	3772691/3772691	---M--	200	added ('OK')	application/pdf	etag:%2286dd6-399113-4dd82500%22	http://www.merck.com/product/usa/pi_circulars/f/follistim_aq/follistim_ppi_ifu.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/f/follistim_aq/follistim_ppi_ifu.pdf	(from http://www.merck.com/product/home.html)
16:14:11	188597/188597	---M--	200	added ('OK')	application/pdf	etag:%22379d05-2e0b5-689b9cc0%22	http://www.merck.com/product/usa/pi_circulars/m/mmr_ii/mmr_ii_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/m/mmr_ii/mmr_ii_pi.pdf	(from http://www.merck.com/product/home.html)
16:14:14	884732/884732	---M--	200	added ('OK')	application/pdf	etag:%2234fdec-d7ffc-4de76740%22	http://www.merck.com/product/usa/pi_circulars/l/liptruzet/liptruzet_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/l/liptruzet/liptruzet_pi.pdf	(from http://www.merck.com/product/home.html)
16:14:19	106711/106711	---M--	200	added ('OK')	application/pdf	etag:%22379d08-1a0d7-4de76740%22	http://www.merck.com/product/usa/pi_circulars/m/mmr_ii/mmr_ii_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/m/mmr_ii/mmr_ii_ppi.pdf	(from http://www.merck.com/product/home.html)
16:14:29	90273/90273	---M--	200	added ('OK')	application/pdf	etag:%2234f230-160a1-7a959dc0%22	http://www.merck.com/product/usa/pi_circulars/n/nexplanon/nexplanon_pcf.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/nexplanon/nexplanon_pcf.pdf	(from http://www.merck.com/product/home.html)
16:14:30	116490/116490	---M--	200	added ('OK')	application/pdf	etag:%2249d6e0-1c70a-ad6e6b40%22	http://www.merck.com/product/usa/pi_circulars/n/nexplanon/nexplanon_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/nexplanon/nexplanon_ppi.pdf	(from http://www.merck.com/product/home.html)
16:15:10	245567/245567	---M--	200	added ('OK')	application/pdf	etag:%2232318c-3bf3f-25b54480%22	http://www.merck.com/product/usa/pi_circulars/n/nuvaring/nuvaring_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/nuvaring/nuvaring_pi.pdf	(from http://www.merck.com/product/home.html)
16:15:16	349836/349836	---M--	200	added ('OK')	application/pdf	etag:%2232318e-5568c-c80930c0%22	http://www.merck.com/product/usa/pi_circulars/n/noxafil/noxafil_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/noxafil/noxafil_pi.pdf	(from http://www.merck.com/product/home.html)
16:16:04	335307/335307	---M--	200	added ('OK')	application/pdf	etag:%22323191-51dcb-276fc5c0%22	http://www.merck.com/product/usa/pi_circulars/n/nuvaring/nuvaring_ppi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/nuvaring/nuvaring_ppi.pdf	(from http://www.merck.com/product/home.html)
16:16:15	799749/799749	---M--	200	added ('OK')	application/pdf	etag:%2249d6df-c3405-71df300%22	http://www.merck.com/product/usa/pi_circulars/n/nexplanon/nexplanon_pi.pdf	D:/cindy/merck/www.merck.com/product/usa/pi_circulars/n/nexplanon/nexplanon_pi.pdf	(from http://www.merck.com/product/home.html)
